0,名称,年份,国家,类型,导演,评价人数,评分
158,蝙蝠侠：黑暗骑士崛起,2012,美国 英国,剧情 动作 科幻 犯罪 惊悚, 克里斯托弗·诺兰 Christopher Nolan,327226,8.6
159,时空恋旅人,2013,英国,剧情 爱情 奇幻, 理查德·柯蒂斯 Richard Curtis,230263,8.6
160,魂断蓝桥,1940,美国,剧情 战争 爱情, Mervyn LeRoy,140894,8.8
161,猜火车,1996,英国,犯罪 剧情, 丹尼·博伊尔 Danny Boyle,268487,8.5
162,穿越时空的少女,2006,日本,剧情 爱情 科幻 动画, 细田守 Mamoru Hosoda,203187,8.6
163,雨中曲,1952,美国,喜剧 歌舞 爱情, Stanley Donen / Gene Kelly,101622,9.0
164,二十二,2015,中国大陆,纪录片, 郭柯 Ke Guo,119754,8.7
165,达拉斯买家俱乐部,2013,美国,剧情 传记 同性, 让-马克·瓦雷 Jean-Marc Vallée,206326,8.7
166,我是山姆,2001,美国,剧情 家庭, 杰茜·尼尔森 Jessie Nelson,117099,8.8
167,人工智能,2001,美国,冒险 剧情 科幻, 史蒂文·斯皮尔伯格 Steven Spielberg,210046,8.6
168,冰川时代,2002,美国,喜剧 动画 冒险, 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge,302266,8.5
169,浪潮,2008,德国,剧情 惊悚, 丹尼斯·甘塞尔 Dennis Gansel,145884,8.7
170,爆裂鼓手,2014,美国,剧情 音乐, 达米安·沙泽勒 Damien Chazelle,264288,8.6
171,朗读者,2008,美国 德国,剧情 爱情, 史蒂芬·戴德利 Stephen Daldry,297591,8.5
172,香水,2006,德国 法国 西班牙 美国,剧情 犯罪 奇幻, 汤姆·提克威 Tom Tykwer,302840,8.4
173,罗生门,1950,日本,犯罪 剧情 悬疑, 黑泽明 Akira Kurosawa,140043,8.7
174,血战钢锯岭,2016,美国 澳大利亚,剧情 传记 历史 战争, 梅尔·吉布森 Mel Gibson,360528,8.7
175,无人知晓,2004,日本,剧情, 是枝裕和 Hirokazu Koreeda,79319,9.1
176,未麻的部屋,1997,日本,动画 奇幻 惊悚, 今敏 Satoshi Kon,111737,8.8
177,阿飞正传,1990,香港,犯罪 剧情 爱情, 王家卫 Kar Wai Wong,231086,8.5
178,被解救的姜戈,2012,美国,剧情 动作 西部 冒险, 昆汀·塔伦蒂诺 Quentin Tarantino,284703,8.6
179,一次别离,2011,伊朗 法国,剧情 家庭, 阿斯哈·法哈蒂  Asghar Farhadi,144389,8.7
180,可可西里,2004,中国大陆 香港,剧情 犯罪, 陆川 Chuan Lu,142018,8.7
181,追随,1998,英国,犯罪 悬疑 惊悚, 克里斯托弗·诺兰 Christopher Nolan,89777,8.9
182,恐怖游轮,2009,英国 澳大利亚,剧情 悬疑 惊悚, 克里斯托弗·史密斯 Christopher Smith,363843,8.4
183,头脑特工队,2015,美国,喜剧 动画 冒险, 彼特·道格特 Pete Docter / 罗纳尔多·德尔·卡门 Ronaldo Del Carmen  &nb...,258389,8.7
184,撞车,2004,美国 德国,犯罪 剧情, 保罗·哈吉斯 Paul Haggis,187905,8.6
185,战争之王,2005,美国 法国,剧情 犯罪, 安德鲁·尼科尔 Andrew Niccol,189171,8.6
186,房间,2015,爱尔兰 加拿大 英国 美国,剧情 家庭, 伦尼·阿伯拉罕森 Lenny Abrahamson,177151,8.8
187,地球上的星星,2007,印度,剧情 儿童 家庭, 阿米尔·汗 Aamir Khan,94856,8.8
188,梦之安魂曲,2000,美国,剧情, 达伦·阿伦诺夫斯基 Darren Aronofsky,121894,8.7
189,牯岭街少年杀人事件,1991,台湾,剧情 犯罪, 杨德昌 Edward Yang,118513,8.8
190,魔女宅急便,1989,日本,动画 奇幻 冒险, 宫崎骏 Hayao Miyazaki,216362,8.5
191,谍影重重,2002,美国 德国 捷克,动作 悬疑 惊悚, 道格·里曼 Doug Liman,210504,8.5
192,你的名字。,2016,日本,剧情 爱情 动画, 新海诚 Makoto Shinkai,544184,8.4
193,模仿游戏,2014,英国 美国,剧情 传记 战争 同性, 莫腾·泰杜姆 Morten Tyldum,283707,8.6
194,忠犬八公物语,1987,日本,剧情, Seijirô Kôyama,68704,9.0
195,谍影重重2,2004,美国 德国,动作 悬疑 惊悚, 保罗·格林格拉斯 Paul Greengrass,174892,8.6
196,青蛇,1993,香港,剧情 奇幻 古装, 徐克 Hark Tsui,245396,8.4
197,一个叫欧维的男人决定去死,2015,瑞典,剧情, 汉内斯·赫尔姆 Hannes Holm,139776,8.7
198,惊魂记,1960,美国,悬疑 惊悚 恐怖, Alfred Hitchcock,93070,8.9
199,完美陌生人,2016,意大利,剧情 喜剧, 保罗·格诺维瑟 Paolo Genovese,229538,8.6
200,哪吒闹海,1979,中国大陆,冒险 动画 奇幻, 严定宪 Dingxian Yan / 王树忱 Shuchen Wang,90810,8.9
201,再次出发之纽约遇见你,2013,美国,喜剧 爱情 音乐, 约翰·卡尼 John Carney,191598,8.5
202,小萝莉的猴神大叔,2015,印度,剧情 喜剧 动作, 卡比尔·汗 Kabir Khan,184919,8.5
203,东京物语,1953,日本,剧情 家庭, 小津安二郎 Yasujirô Ozu,57055,9.2
204,黑客帝国3：矩阵革命,2003,美国 澳大利亚,动作 科幻, Andy Wachowski / Larry Wachowski,172928,8.5
205,源代码,2011,美国 加拿大,科幻 悬疑 惊悚, 邓肯·琼斯 Duncan Jones,441786,8.3
206,新龙门客栈,1992,香港 中国大陆,剧情 动作 武侠 古装, 李惠民 Raymond Lee,203926,8.5
207,终结者2：审判日,1991,美国 法国,动作 科幻, 詹姆斯·卡梅隆 James Cameron,154165,8.6
208,末路狂花,1991,美国 法国,犯罪 剧情 惊悚, 雷德利·斯科特 Ridley Scott,114902,8.7
209,碧海蓝天,1988,法国 美国 意大利,剧情 爱情, Luc Besson,112968,8.7
210,秒速5厘米,2007,日本,动画 剧情 爱情, 新海诚 Makoto Shinkai,331650,8.3
211,绿里奇迹,1999,美国,犯罪 剧情 奇幻 悬疑, Frank Darabont,116830,8.7
212,这个男人来自地球,2007,美国,剧情 科幻, 理查德·沙因克曼 Richard Schenkman,199713,8.5
213,勇闯夺命岛,1996,美国,动作 冒险, 迈克尔·贝 Michael Bay,153000,8.6
214,海盗电台,2009,英国 德国 法国,剧情 喜剧 音乐, 理查德·柯蒂斯 Richard Curtis,175054,8.6
215,城市之光,1931,美国,喜剧 剧情 爱情, Charles Chaplin,49602,9.2
216,初恋这件小事,2010,泰国,剧情 喜剧 爱情, 普特鹏·普罗萨卡·那·萨克那卡林 Puttipong Promsaka Na Sakolnakorn / 华森·波克彭...,504659,8.3
217,步履不停,2008,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda,93946,8.8
218,无耻混蛋,2009,美国 德国,剧情 犯罪, Quentin Tarantino,242032,8.4
219,卡萨布兰卡,1942,美国,剧情 爱情 战争, Michael Curtiz,134925,8.6
220,变脸,1997,美国,动作 科幻 犯罪 惊悚, 吴宇森 John Woo,230830,8.4
221,爱在午夜降临前,2013,美国,剧情 爱情, 理查德·林克莱特 Richard Linklater,128997,8.8
222,E.T. 外星人,1982,美国,剧情 科幻, Steven Spielberg,167955,8.5
223,无敌破坏王,2012,美国,喜剧 动画 奇幻 冒险, 瑞奇·莫尔 Rich Moore,203820,8.6
224,发条橙,1971,英国 美国,犯罪 剧情 科幻, Stanley Kubrick,200082,8.5
225,疯狂的石头,2006,中国大陆 香港,喜剧 犯罪, 宁浩 Hao Ning,349938,8.3
226,黄金三镖客,1966,意大利 西班牙 西德,冒险 西部, Sergio Leone,56711,9.1
227,海街日记,2015,日本,剧情 家庭, 是枝裕和 Hirokazu Koreeda,151243,8.7
228,美国丽人,1999,美国,剧情 爱情 家庭, 萨姆·门德斯 Sam Mendes,199839,8.5
229,荒野生存,2007,美国,冒险 传记 剧情, 西恩·潘 Sean Penn,137131,8.6
230,迁徙的鸟,2001,法国 德国 意大利 西班牙 瑞士,纪录片, 雅克·贝汉 Jacques Perrin / 雅克·克鲁奥德 Jacques Cluzaud,54676,9.1
231,英国病人,1996,美国 英国,爱情 剧情 战争, 安东尼·明格拉 Anthony Minghella,185002,8.5
232,彗星来的那一夜,2013,美国 英国,科幻 悬疑 惊悚, 詹姆斯·沃德·布柯特 James Ward Byrkit,203468,8.4
233,国王的演讲,2010,英国 澳大利亚 美国,剧情 传记 历史, 汤姆·霍珀 Tom Hooper,367337,8.3
234,血钻,2006,美国 德国,剧情 惊悚 冒险, 爱德华·兹威克 Edward Zwick,146490,8.5
235,非常嫌疑犯,1995,德国 美国,剧情 犯罪 悬疑 惊悚, 布莱恩·辛格 Bryan Singer,126329,8.6
236,聚焦,2015,美国,剧情 传记, 托马斯·麦卡锡 Thomas McCarthy,140708,8.8
237,燕尾蝶,1996,日本,犯罪 剧情, 岩井俊二 Shunji Iwai,113088,8.6
238,勇士,2011,美国,剧情 运动 家庭, 加文·欧康诺 Gavin O'Connor,93434,8.9
239,叫我第一名,2008,美国,剧情 传记, 彼得·维纳 Peter Werner,116643,8.6
240,穆赫兰道,2001,法国 美国,剧情 悬疑 惊悚, 大卫·林奇 David Lynch,252545,8.3
241,遗愿清单,2007,美国,冒险 喜剧 剧情, 罗伯·莱纳 Rob Reiner,143374,8.5
242,枪火,1999,香港,剧情 动作 犯罪, 杜琪峰 Johnnie To,108396,8.6
243,我爱你,2011,韩国,剧情 爱情, 秋昌民 Chang-min Choo,64013,9.0
244,黑鹰坠落,2001,美国,动作 历史 战争, 雷德利·斯科特 Ridley Scott,128137,8.6
245,上帝也疯狂,1980,博茨瓦纳 南非,喜剧, Jamie Uys,102778,8.6
246,荒岛余生,2000,美国,冒险 剧情, 罗伯特·泽米吉斯 Robert Zemeckis,147319,8.5
247,大卫·戈尔的一生,2003,美国 德国 英国,剧情 犯罪 悬疑, Alan Parker,103732,8.6
248,千钧一发,1997,美国,剧情 科幻 惊悚, 安德鲁·尼科尔 Andrew Niccol,94953,8.7
249,2001太空漫游,1968,英国 美国,科幻 惊悚 冒险, 斯坦利·库布里克 Stanley Kubrick,103404,8.7
250,蓝色大门,2002,台湾 法国,剧情 爱情 同性, 易智言 Chih-yen Yee,287039,8.3
